                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 0.2246,                0.19439,                0.83553,                 0.9666,                0.95502,                0.97616,                0.96972,                 0.1678,                 0.1729,                0.78005,             0.00021235,             0.00021235,             0.00021235
                     89,                0.22036,                0.19193,                0.83576,                0.95896,                0.96409,                0.98262,                0.97444,                0.16745,                0.16367,                0.78037,              0.0001982,              0.0001982,              0.0001982
                     90,                0.22118,                0.19607,                0.83531,                0.95609,                0.94626,                0.97875,                0.97191,                0.16385,                0.17798,                0.78009,             0.00018406,             0.00018406,             0.00018406
                     91,                0.16646,                0.13497,                0.79186,                0.96154,                0.96776,                0.97689,                0.96831,                0.14383,                 0.1676,                0.78018,             0.00016991,             0.00016991,             0.00016991
                     92,                0.16632,                0.13485,                0.79114,                0.95924,                0.95975,                  0.983,                0.97657,                0.14663,                0.16406,                0.77989,             0.00015576,             0.00015576,             0.00015576
                     93,                0.15907,                0.12526,                 0.7856,                0.96135,                0.96379,                0.98291,                0.97672,                0.14177,                0.15644,                 0.7793,             0.00014161,             0.00014161,             0.00014161
                     94,                0.15959,                0.12465,                0.78853,                0.97103,                0.96332,                0.98264,                 0.9758,                 0.1406,                0.15896,                0.77994,             0.00012747,             0.00012747,             0.00012747
                     95,                0.15674,                0.12136,                0.78486,                0.95893,                0.96675,                0.97478,                0.96938,                  0.139,                0.16718,                0.77807,             0.00011332,             0.00011332,             0.00011332
                     96,                0.15057,                0.12114,                 0.7856,                0.95518,                0.96458,                0.97427,                0.96922,                0.13649,                0.17677,                 0.7774,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.15123,                0.11854,                0.78627,                0.96213,                0.96249,                0.97843,                0.97398,                0.13274,                0.16072,                0.77661,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.15057,                0.11827,                 0.7887,                0.95522,                0.95586,                0.97745,                0.97214,                  0.137,                0.16836,                0.77938,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.14512,                0.11225,                0.78387,                0.95443,                 0.9603,                0.97517,                0.97068,                0.13147,                0.16794,                0.77564,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.14408,                0.11011,                0.78523,                0.96299,                0.95933,                0.97919,                0.97353,                0.12964,                0.15886,                 0.7764,             4.2584e-05,             4.2584e-05,             4.2584e-05
